Surname,Common5
WANSBOROUGH,1
WARD,1
WARDLE,1
WARE,1
WARNER,1
WARNOCK,1
WARREN,1
WARWICK,1
WATERS,1
WATKINS,1
WATSON,1
WATT,1
WATTIS,1
WATTS,1
WEBB,1
WEBBER,1
WEBBLEY,1
WEBSDALE,1
WEBSTER,1
WEDD,1
WEEDON,1
WEHR,1
WEIR,1
WELCH,1
WELLS,1
WENT,1
WERE,1
WERTHEIMER,1
WEST,1
WESTERN,1
WETHERALL,1
WHATMAN,1
WHEATLEY,1
WHEELOCK,1
WHIFFEN,1
WHISKIN,1
WHITE,1
WHITEHURST,1
WHITELEY,1
WHITESIDE,1
WHITFORD,1
WHITLOCK,1
WHITTAKER,1
WHITWORTH,1
WHYBORN,1
WHYBROW,1
WIESE,1
WIFFEN,1
Wiggins ,1
WILKERSON,1
WILKES,1
WILKINSON,1
WILKS,1
WILLEY,1
WILLIAMS,1
WILLIMOTT,1
WILLIS,1
WILSON,1
WILTON,1
WINEFIELD,1
WINGROVE,1
WINNETT,1
WINTER,1
WINWOOD,1
WIRTH,1
WISHART,1
WISLON,1
WITCHELL,1
WITHNELL,1
WOHLSTRAND,1
WOLFE,1
WOOD,1
WOODHEAD,1
WOODS,1
WOODYATT,1
WOOLHOUSE,1
WOOLLANDS,1
WORRALL,1
WORTH,1
WORTHINGTON,1
WRAY,1
WRIGHT,1
WRIGHTSON,1
WROTH,1
WUILLEMIN,1
WYATT,1
WYBREW,1
WYNN,1
WYNNE,1
Y,1
YATES,1
YEO,1
YEWDALE,1
YORK,1
YORKE,1
YOUARD,1
YOUNG,1
Z,1
ZELLING,1
ZIC,1
ZIS,1
