"Forename","Sex","Common5"
"Iris","f",2
"Irma","f",1
"Isabel","f",4
"Isabell","f",1
"Isabella","f",3
"Isis","f",1
"Isobel","f",3
"Iva","f",1
"Ivy","f",2
"Jackie","f",4
"Jacqueline","f",3
"Jane","f",5
"Janet","f",5
"Janetta","f",1
"Janice","f",4
"Janine","f",4
"Janis","f",1
"Jaqueline","f",1
"Jayne","f",3
"Jean","f",4
"Jeanette","f",3
"Jeanne","f",4
"Jeannie","f",3
"Jemima","f",2
"Jenette","f",1
"Jenifer","f",1
"Jenna","f",1
"Jennie","f",4
"Jennifer","f",4
"Jenny","f",5
"Jessica","f",5
"Jessie","f",4
"Jill","f",5
"Jillian","f",5
"Joan","f",5
"Joane","f",1
"Joann","f",1
"Joanna","f",4
"Joanne","f",5
"Jocelin","f",1
"Jocelyn","f",1
"Jodi","f",3
"Johanna","f",1
"Joni","f",1
"Josephine","f",1
"Joy","f",4
"Joyce","f",3
"Juanita","f",2
"Judith","f",5
"Judy","f",5
"Julia","f",5
"Julie","f",5
"Julier","f",1
"Juliet","f",5
"Juliette","f",5
"June","f",5
"Karalee","f",1
"Karee","f",1
"Karen","f",5
"Kari","f",2
"Kate","f",5
"Katherine","f",5
"Kathleen","f",5
"Kathlyn","f",2
"Kathryn","f",5
"Kathryn-Ann","f",1
"Kathy","f",5
"Katie","f",5
"Katrina","f",5
"Kay","f",5
"Kaye","f",5
"Kayleigh","f",2
"Kayli","f",2
"Kaylie","f",2
"Kelli","f",2
"Kellie","f",3
"Kelly","f",4
"Kelly-Ann","f",2
"Ker","f",1
"Kerri","f",2
"Kerry","f",3
"Kerrylyn","f",1
"Kezia","f",1
"Keziah","f",1
"Kim","f",4
"Kimberley","f",4
"Kimberly","f",4
"Kirsty","f",4
"Kirstyn","f",2
"Kitty","f",3
"Kristen","f",2
"Kristi","f",1
"Kristin","f",2
"Kylie","f",5
"Laetitia","f",2
"Lalania","f",1
"Lara","f",3
"Laura","f",4
"Laureen","f",1
"Lauren","f",3
"Lauretta","f",1
"Lavina","f",1
"Lavinia","f",2
"Leah","f",3
"Leann","f",1
"Leanna","f",1
"Leanne","f",3
"Lela","f",2
"Lena","f",3
"Lenea","f",1
"Lenna","f",1
"Leona","f",2
"Leonie","f",3
"Leonora","f",1
"Lesley","f",4
"Letice","f",1
"Letitia","f",2
"Lettice","f",1
"Lettitia","f",1
"Letty","f",1
"Levina","f",1
"Levinah","f",1
"Levinia","f",2
"Liddy","f",1
"Lila","f",2
"Lilia","f",1
"Lilian","f",3
"Lillian","f",2
"Lillie","f",1
"Lilly","f",1
"Lily","f",2
"Linda","f",4
"Lisa","f",4
"Lizzie","f",4
"Lizzy","f",4
"Loren","f",2
"Lori","f",2
"Lorna","f",2
"Lorraine","f",3
"Lottie","f",3
"Loucy","f",1
"Louisa","f",3
"Louise","f",4
"Love","f",1
"Lucia","f",2
"Lucille","f",2
"Lucy","f",5
"Lydia","f",3
"Lynda","f",3
"Lynette","f",3
"Lynn","f",3
"Lynne","f",4
"Mabel","f",2
"Madaline","f",1
"Madeline","f",2
"Madonna","f",1
"Mae","f",3
"Magdalen","f",1
"Magdalin","f",1
"Magdelen","f",1
"Maggie","f",5
"Maisie","f",4
"Malinda","f",1
"Malvina","f",1
"Mandy","f",5
"Mara","f",1
"Marcia","f",3
"Margaret","f",5
"Margarete","f",1
"Margarette","f",1
"Margery","f",1
"Margherita","f",1
"Margott","f",2
"Margretta","f",1
"Marguerite","f",2
"Maria","f",4
"Marian","f",1
"Marianne","f",4
"Maribel","f",1
"Maribeth","f",1
"Marie","f",4
"Mariela","f",2
"Marilyn","f",4
"Marion","f",3
"Marjorie","f",4
"Marjory","f",4
"Marlene","f",3
"Marrian","f",1
"Marryett","f",1
"Martha","f",4
"Mary","f",5
"Mary-Anne","f",3
"Maryann","f",3
"Maryanne","f",3
"Maryett","f",1
"Maryn","f",1
"Maryrose","f",1
"Matilda","f",3
"Matrona","f",1
"Maud","f",2
"Maude","f",2
"Maudie","f",2
"Maureen","f",4
"Mavis","f",3
"Maxine","f",3
"May","f",4
"Megan","f",3
"Melanie","f",4
"Melinda","f",2
"Melissa","f",4
"Melloney","f",1
"Melpomene","f",1
"Melva","f",1
"Mercy","f",1
"Meredith","f",3
"Merral","f",1
"Merry","f",2
"Meryl","f",2
"Michele","f",4
"Michelle","f",4
"Mikala","f",1
"Mildred","f",2
"Millicent","f",2
"Millie","f",3
"Milly","f",3
"Milvina","f",1
"Mina","f",1
"Minnie","f",2
"Miranda","f",2
"Miriam","f",2
"Moira","f",2
"Molly","f",2
"Mona","f",2
"Monica","f",3
"Muriel","f",2
"Myra","f",2
"Myran","f",1
"Myril","f",1
"Myrill","f",1
"Myrna","f",2
"Myrtle","f",1
"Nadia","f",3
"Nancie","f",1
"Nancy","f",2
"Naomi","f",3
"Natalie","f",2
"Natasha","f",3
"Nelika","f",1
"Nellie","f",1
"Nelly","f",2
"Netta","f",1
"Nichola","f",3
"Nicola","f",4
"Nina","f",3
"Ninette","f",1
"Nixi","f",1
"Nola","f",1
"Nora","f",1
"Norah","f",2
"Noreen","f",1
"Norma","f",3
"Odette","f",2
"Olive","f",2
"Pamela","f",4
"Pansy","f",2
"Patience","f",2
"Patricia","f",2
"Patricia-Anne","f",1
"Paula","f",3
"Paulette","f",3
"Pauline","f",4
"Pearl","f",1
"Peggy","f",2
"Penelope","f",3
"Penny","f",3
"Petrina","f",1
"Petrine","f",1
"Petronella","f",1
"Phebe","f",1
"Philippa","f",2
"Phillipa","f",3
"Phillippa","f",1
"Phillis","f",1
"Philomena","f",1
"Phoebe","f",3
"Phylis","f",1
"Phyllis","f",2
"Pollie","f",2
"Polly","f",3
"Primrose","f",2
"Priscilla","f",2
"Prudence","f",1
"Queenie","f",2
"Rachael","f",2
"Racheal","f",1
"Rachel","f",3
"Ramona","f",1
"Rebecca","f",5
"Rena","f",1
"Rhoda","f",1
"Rhona","f",2
"Rita","f",3
"Roberta","f",1
"Rosa","f",3
"Rosalie","f",1
"Rosalind","f",3
"Rosaline","f",1
"Rosalyn","f",1
"Rosamund","f",2
"Rosanna","f",2
"Rosannah","f",1
"Rose","f",4
"Roseana","f",1
"Roseann","f",2
"Roseelen","f",1
"Roselynde","f",1
"Rosemarie","f",2
"Rosemary","f",5
"Rosena","f",1
"Rosetta","f",1
"Rosey","f",1
"Rosia","f",1
"Rosilda","f",1
"Rosina","f",1
"Rosine","f",1
"Roslyn","f",1
"Rowena","f",2
"Roxanne","f",2
"Ruby","f",2
"Ruth","f",4
"Sabina","f",2
"Sally","f",4
"Sally-Ann","f",3
"Sallyanne","f",3
"Samantha","f",4
"Sandra","f",4
"Sara","f",3
"Sarah","f",5
"Sarah-Jane","f",2
"Sarah-Jayne","f",1
"Sasha","f",3
"Selena","f",2
"Selina","f",1
"Septima","f",1
"Serena","f",3
"Serviah","f",1
"Sharon","f",4
"Sharron","f",1
"Sheila","f",5
"Sheilagh","f",3
"Shelagh","f",3
"Shelley","f",4
"Shelly-Jane","f",1
"Sheri","f",2
"Sherine","f",1
"Sherrie","f",1
"Sherron","f",1
"Sherry","f",1
"Shirley","f",5
"Sian","f",2
"Sibella","f",1
"Sibyl","f",1
"Sibylla","f",1
"Sicily","f",1
"Silvestress","f",1
"Silvestris","f",1
"Sonia","f",4
"Sonya","f",1
"Sophia","f",3
"Sophie","f",4
"Stacey","f",4
"Stella","f",3
"Stephanie","f",4
"Sue","f",5
"Summer","f",2
"Surlena","f",1
"Susan","f",5
"Susana","f",1
"Susanna","f",4
"Susannah","f",4
"Susanne","f",4
"Susette","f",1
"Susie","f",5
"Sussanah","f",1
"Suzanne","f",4
"Suzette","f",1
"Suzie","f",5
"Sybella","f",1
"Sybil","f",2
"Sybill","f",2
"Sycilla","f",1
"Sylvia","f",4
"Tabitha","f",2
"Tammy","f",3
"Tamsyn","f",2
"Tania","f",2
"Tanya","f",3
"Tara","f",2
"Tarina","f",1
"Temperance","f",1
"Tena","f",1
"Teresa","f",4
"Teri","f",4
"Tessa","f",4
"Thelma","f",2
"Theodora","f",1
"Theodosia","f",1
"Theresa","f",3
"Therese","f",3
"Theresia","f",1
"Therisi","f",1
"Thirza","f",1
"Thomasina","f",1
"Tillie","f",2
"Tina","f",3
"Tirzah","f",1
"Toni","f",3
"Tory","f",2
"Tracey","f",4
"Tracie","f",1
"Tracy","f",4
"Treasure","f",1
"Tryphena","f",1
"Twila","f",1
"Typhenor","f",1
"Unice","f",1
"Unity","f",2
"Ursula","f",2
"Uzal","f",1
"Valentina","f",3
"Valerie","f",3
"Vanessa","f",3
"Vashti","f",1
"Velsha","f",1
"Vera","f",2
"Verdy","f",1
"Verena","f",1
"Vergie","f",1
"Veronica","f",3
"Vicki","f",4
"Victoria","f",4
"Viola","f",2
"Violet","f",2
"Virgie","f",2
"Virginia","f",3
"Vivien","f",3
"Vivienne","f",3
"Vyvian","f",1
"Wenda","f",1
"Wendelin","f",1
"Wendy","f",4
"Winifred","f",2
"Winnie","f",2
"Winnifred","f",2
"Wulfhilda","f",1
"Yasmin","f",2
"Yvette","f",3
"Yvonne","f",3
"Zelina","f",1
"Zelma","f",1
"Zenia","f",1
"Zephra","f",1
"Zerviah","f",1
"Zillah","f",1
"Zilpha","f",1
"Zoe","f",4
"Zurviah","f",1
