"forename","sex","rn_expweight"
"Oscar","m",2
"Oswald","m",1
"Oswyn","m",1
"Otis","m",1
"Otto","m",2
"Owen","m",2
"Patrick","m",5
"Paul","m",5
"Percival","m",1
"Percy","m",2
"Pete","m",5
"Peter","m",5
"Philip","m",5
"Philippe","m",1
"Phillip","m",5
"Preston","m",1
"Quind","m",1
"Ralph","m",3
"Ramon","m",1
"Randal","m",1
"Randall","m",1
"Randy","m",2
"Raphe","m",1
"Rasmus","m",1
"Ray","m",4
"Rayghould","m",1
"Raygnould","m",1
"Raymond","m",4
"Reginald","m",3
"Reuben","m",1
"Reynolds","m",1
"Rhys","m",2
"Richard","m",5
"Robert","m",5
"Robin","m",2
"Rodney","m",3
"Roger","m",4
"Roland","m",2
"Rollin","m",1
"Ronald","m",2
"Ross","m",4
"Rowland","m",1
"Roy","m",4
"Rubin","m",1
"Rufus","m",2
"Rupert","m",3
"Saboth","m",1
"Sam","m",5
"Sampson","m",1
"Samuel","m",5
"Scott","m",3
"Sean","m",4
"Selby","m",1
"Seymour","m",2
"Shadrack","m",1
"Shane","m",3
"Shaun","m",3
"Sherman","m",1
"Sidney","m",3
"Silas","m",1
"Silvester","m",1
"Simon","m",5
"Solomon","m",2
"Spencer","m",3
"Squire","m",1
"Stan","m",2
"Stanley","m",2
"Stefan","m",3
"Stephen","m",4
"Steve","m",5
"Steven","m",5
"Stewart","m",4
"Stuart","m",4
"Sven","m",2
"Sydney","m",1
"Symon","m",1
"Ted","m",4
"Terence","m",3
"Terry","m",4
"Theodore","m",1
"Thomas","m",5
"Tim","m",5
"Timothy","m",5
"Toby","m",4
"Tom","m",5
"Tommy","m",2
"Tomson","m",1
"Tony","m",5
"Trevor","m",4
"Tristan","m",1
"Ulisses","m",1
"Uriah","m",1
"Valentine","m",1
"Valentyne","m",1
"Veram","m",1
"Vernon","m",2
"Victor","m",2
"Vincent","m",2
"Virgil","m",1
"Walter","m",3
"Warren","m",3
"Warwick","m",2
"Washington","m",1
"Wayne","m",3
"Wayne-Ross","m",1
"Wesley","m",2
"West","m",1
"Wilbur","m",1
"Wilfred","m",2
"Wilfrid","m",2
"William","m",4
"William","m",5
"Willie","m",3
"Willis","m",1
"Winston","m",1
"Wyndham","m",1
"Yoland","m",1
"Zachary","m",3
